iter	Logloss
0	0.6892631759
1	0.6842258625
2	0.6798199745
3	0.6745187799
4	0.6691875117
5	0.6645540161
6	0.6603126967
7	0.6551650299
8	0.650211837
9	0.6454872751
10	0.6416909869
11	0.6372897652
12	0.6338651752
13	0.629748455
14	0.6255224002
15	0.6213088179
16	0.618174849
17	0.6146994675
18	0.6116901244
19	0.6084509651
20	0.6059253802
21	0.60236272
22	0.5994921388
23	0.596015572
24	0.5923249893
25	0.5886850939
26	0.5853417568
27	0.5823880678
28	0.5792413647
29	0.5759666601
30	0.5728256883
31	0.5702649766
32	0.5687289307
33	0.566051646
34	0.562996288
35	0.5600636398
36	0.5572597768
37	0.5542529673
38	0.5511850471
39	0.5488667304
40	0.5463807953
41	0.5437767461
42	0.5406235338
43	0.5384409306
44	0.5360884992
45	0.5338608795
46	0.5311311849
47	0.5291107379
48	0.527212156
49	0.5248902618
50	0.5228049809
51	0.520629861
52	0.5189615973
53	0.5170412301
54	0.5147410316
55	0.5127979699
56	0.5113652149
57	0.5097311337
58	0.5079151427
59	0.5058397196
60	0.5039203164
61	0.5024154566
62	0.500461073
63	0.4983930418
64	0.4968665076
65	0.4948542484
66	0.4931726802
67	0.491221737
68	0.4897318796
69	0.4881977184
70	0.486413305
71	0.4848162504
72	0.4837025416
73	0.4822145201
74	0.4814191184
75	0.4797076544
76	0.4780760397
77	0.4762738242
78	0.4746378552
79	0.4729564884
80	0.4714116774
81	0.4702487547
82	0.4688167794
83	0.4676737214
84	0.4662122734
85	0.4654130477
86	0.4640485288
87	0.4629206102
88	0.4618194257
89	0.4606454546
90	0.459374646
91	0.4583998403
92	0.4572781029
93	0.4561513005
94	0.4546678871
95	0.4537570176
96	0.4525391011
97	0.4514875291
98	0.4505496626
99	0.4494019106
100	0.4481184826
101	0.447086574
102	0.4458432807
103	0.4447170398
104	0.4436302197
105	0.4427713003
106	0.4421553627
107	0.4411490379
108	0.4407831815
109	0.4396502118
110	0.4386312716
111	0.4377255172
112	0.4368829941
113	0.4358331638
114	0.4348579371
115	0.4339210213
116	0.4333217018
117	0.4327420757
118	0.4319454159
119	0.431194493
120	0.4305369509
121	0.4298929085
122	0.4290557228
123	0.4283209373
124	0.4274341491
125	0.4268958637
126	0.426278714
127	0.4258536211
128	0.4249183621
129	0.4240470589
130	0.423457199
131	0.4227732522
132	0.4223536614
133	0.4217143497
134	0.4211544346
135	0.4204939814
136	0.4199872268
137	0.4195353375
138	0.4187973666
139	0.4181582119
140	0.41747628
141	0.4169482447
142	0.4163916487
143	0.4156352663
144	0.4149583518
145	0.4147387157
146	0.4144307425
147	0.4137679439
148	0.4129482117
149	0.4122444039
150	0.4118727723
151	0.4113853461
152	0.4107927112
153	0.4103371041
154	0.409798606
155	0.4094073253
156	0.4088079068
157	0.4084982123
158	0.4082059133
159	0.4078097806
160	0.4072935947
161	0.4066253255
162	0.4061808195
163	0.4056109244
164	0.4049619649
165	0.4043543262
166	0.4037768354
167	0.403328197
168	0.4031062874
169	0.4026936112
170	0.4024155323
171	0.4017985666
172	0.4012589419
173	0.4007694869
174	0.4004818449
175	0.4001212799
176	0.3995933945
177	0.3992335507
178	0.3987100343
179	0.398395393
180	0.3979319942
181	0.3975231807
182	0.3970598424
183	0.3966859204
184	0.3961627745
185	0.3958754924
186	0.3954470452
187	0.3949203197
188	0.3943761128
189	0.3942006921
190	0.3936584309
191	0.3930858412
192	0.3926370169
193	0.3922944337
194	0.3920410615
195	0.3916402121
196	0.3913604919
197	0.3910635753
198	0.3906313077
199	0.3904543185
200	0.3901839904
201	0.3899800661
202	0.3893263297
203	0.3887286829
204	0.3883308634
205	0.3878426295
206	0.3875062455
207	0.3871996619
208	0.3871476317
209	0.3867953168
210	0.3865354161
211	0.3861957469
212	0.3859159413
213	0.3854461368
214	0.3851300372
215	0.3848151605
216	0.3844623187
217	0.3841677702
218	0.383707124
219	0.3832007049
220	0.3826347179
221	0.3824349058
222	0.3821958108
223	0.3816355871
224	0.3813930394
225	0.3813276652
226	0.3811000389
227	0.380636294
228	0.3803785357
229	0.3799020691
230	0.3796317934
231	0.3790249553
232	0.3787673757
233	0.3786289521
234	0.3783496909
235	0.3779478475
236	0.3776366754
237	0.3773936275
238	0.37713772
239	0.3769788508
240	0.3765885279
241	0.3764705285
242	0.3758800925
243	0.3755644434
244	0.3752615763
245	0.3750505288
246	0.3747802334
247	0.3746198139
248	0.374497079
249	0.3742577809
250	0.3739482893
251	0.3735124378
252	0.3732870796
253	0.372835451
254	0.3724459825
255	0.3721390364
256	0.3718811437
257	0.371553006
258	0.3712897763
259	0.3711062264
260	0.3705453748
261	0.3703844291
262	0.370017557
263	0.3695144078
264	0.3694061388
265	0.3692031295
266	0.3687416387
267	0.3685415104
268	0.3683447593
269	0.3682941616
270	0.3680748828
271	0.3679928511
272	0.3676796675
273	0.3673827757
274	0.3671544449
275	0.3668393485
276	0.3664762406
277	0.3662598786
278	0.3660492224
279	0.3658178615
280	0.3656623689
281	0.3654508399
282	0.3649341081
283	0.3648294945
284	0.3646824237
285	0.3643804637
286	0.3641496037
287	0.3639872581
288	0.3636597147
289	0.3634017344
290	0.3629977112
291	0.3628094312
292	0.3625165713
293	0.3621469199
294	0.3619785357
295	0.361776055
296	0.3615714817
297	0.3615522289
298	0.3612868246
299	0.3610331189
300	0.3606929137
301	0.3602625355
302	0.3601633032
303	0.3599296318
304	0.3596096702
305	0.35944073
306	0.3590977428
307	0.3589138847
308	0.3585801108
309	0.3582856931
310	0.3581581553
311	0.3578583653
312	0.3576173657
313	0.3575178857
314	0.3572182032
315	0.357007559
316	0.3568964221
317	0.3566952387
318	0.3565910451
319	0.3564144502
320	0.35620565
321	0.3558429818
322	0.3556112061
323	0.3554244969
324	0.3552914976
325	0.3550954088
326	0.3549142818
327	0.354516468
328	0.3540567356
329	0.3538610746
330	0.3534295356
331	0.3530737197
332	0.3527373442
333	0.3524489403
334	0.3522523363
335	0.3519752432
336	0.3517876419
337	0.3515189733
338	0.351311503
339	0.3509690575
340	0.3507510239
341	0.3506593207
342	0.3505542784
343	0.3503232591
344	0.3501255352
345	0.350064803
346	0.3498547266
347	0.3496441678
348	0.3495582319
349	0.3491473091
350	0.3490256593
351	0.3488635865
352	0.3484259552
353	0.3482832709
354	0.3480650264
355	0.3478105457
